RADICADO,FECHA,HORA,CLASE,DIRECCIÓN,BARRIO,COMUNA,Nº VICTIMA PEATON,Nº VICTIMA ACOMPANANTE,Nº VICTIMAPASAJERO,Nº VICTIMA CONDUCTOR,Nº VICTIMA HERIDO,Nº VICTIMA MUERTO
"19,073",02/09/2019 12:00:00 AM,9:00:00 PM,Choque,CR 21 POR CL 19,PAPELSA,Urbana,0,0,0,2,2,0
"19,071",02/13/2019 12:00:00 AM,8:40:00 AM,Volcamiento,VEREDA VILLA ROCA,ESMERALDA,Rural,0,0,0,1,1,0
"19,072",02/14/2019 12:00:00 AM,5:20:00 AM,Volcamiento,KM 1 + 100,ESMERALDA,Urbana,0,1,0,1,2,0
"19,068",02/10/2019 12:00:00 AM,3:00:00 AM,Choque,HATILLO CISNEROS KM 15 + 100,PAPELSA,Rural,0,0,0,0,0,0
"19,069",02/11/2019 12:00:00 AM,12:15:00 PM,Choque,KM 30 + 600 HATILLO DON MATIAS,PAPELSA,Rural,0,0,0,1,1,0
"19,070",01/16/2019 12:00:00 AM,8:45:00 AM,Volcamiento,VEREDAS HATILLO EL SALADO,PAPELSA,Rural,0,0,0,1,1,0
"19,065",02/11/2019 12:00:00 AM,10:50:00 AM,Volcamiento,BARRIO EL PORVENIR,ESMERALDA,Urbana,0,0,0,1,1,0
"19,066",02/09/2019 12:00:00 AM,3:30:00 PM,Volcamiento,KM 13 + 100 VEREDA TAMBORCITO,ESMERALDA,Rural,0,0,0,1,1,0
"19,067",02/11/2019 12:00:00 AM,4:00:00 AM,Volcamiento,CLL 11 CON 21,ESMERALDA,Urbana,0,0,0,1,1,0
"19,062",02/10/2019 12:00:00 AM,10:30:00 AM,Volcamiento,VEREDA ALTA MIRA,PAPELSA,Rural,0,0,1,0,1,0
"19,063",02/10/2019 12:00:00 AM,6:10:00 PM,Choque,CR 21 CON CL 13,PAPELSA,Urbana,0,0,0,1,1,0
"19,064",02/10/2019 12:00:00 AM,2:10:00 PM,Volcamiento,RUTA 6205 KM 1 + 200 HATILLO,PAPELSA,Rural,0,0,0,1,1,0
"19,055",02/03/2019 12:00:00 AM,8:10:00 PM,Choque,BARBOSA CISNEROS KM  13 + 800,PAPELSA,Rural,0,0,0,1,1,0
"19,056",02/02/2019 12:00:00 AM,12:10:00 AM,Choque,VIA BARBOSA PRADE4RA KM 11 + 300,PAPELSA,Rural,0,0,0,0,0,0
"19,057",02/03/2019 12:00:00 AM,2:00:00 AM,Choque,CARRERA 21 KM 9 + 900 MT VIA KOLKIN,PAPELSA,Urbana,0,0,0,1,1,0
"19,058",02/05/2019 12:00:00 AM,7:15:00 PM,Volcamiento,PARQUEADERO LAS VEGASX CR 21 CL 14,PAPELSA,Urbana,0,0,0,1,1,0
"19,059",02/05/2019 12:00:00 AM,7:15:00 PM,Choque,KM 8 + 200 RECTA CHICHARRAS VIA BARBOSA HATILLO,PAPELSA,Rural,0,0,0,0,0,0
"19,060",01/21/2019 12:00:00 AM,12:30:00 PM,Choque,KM 27 + 800 HATILLO MATASANOS,PAPELSA,Rural,0,0,3,0,3,0
"19,061",02/01/2019 12:00:00 AM,8:00:00 AM,Choque,KM 8 + 200 ENTRADA A CONCEPCION,PAPELSA,Rural,0,0,0,1,1,0
"19,047",02/03/2019 12:00:00 AM,5:30:00 PM,Atropello,CR 19 CLL 19 H.S.V.P BARBOSA,ESMERALDA,Urbana,1,0,0,0,1,0
"19,048",02/02/2019 12:00:00 AM,3:50:00 PM,Volcamiento,VEREDA EL SALADO HATILLO,ESMERALDA,Rural,0,1,0,0,1,0
"19,049",01/28/2019 12:00:00 AM,3:00:00 PM,Volcamiento,CLL 17 CR 11,ESMERALDA,Urbana,0,0,0,1,1,0
"19,050",01/30/2019 12:00:00 AM,2:30:00 PM,Atropello,VEREDA POPALITO RUTA 6205A KM 18 + 200,ESMERALDA,Rural,1,0,0,0,1,0
"19,051",02/03/2019 12:00:00 AM,6:45:00 PM,Volcamiento,BARRIO LA ESMERALDA,ESMERALDA,Urbana,0,0,0,1,1,0
"19,052",02/04/2019 12:00:00 AM,11:30:00 AM,Choque,K 29 966 VEREDA LAS BEATRICES,ESMERALDA,Rural,0,0,0,0,0,0
"19,053",02/03/2019 12:00:00 AM,12:40:00 PM,Volcamiento,"VEREDA ISAZA K5 + 983,40M",ESMERALDA,Rural,0,0,0,1,1,0
"19,054",02/03/2019 12:00:00 AM,2:00:00 PM,Volcamiento,VEREDA ISAZA,ESMERALDA,Rural,0,0,0,1,1,0
"19,044",01/19/2019 12:00:00 AM,5:40:00 AM,Volcamiento,VIA PORCE CURVA BOTANO,PAPELSA,Rural,0,0,0,1,1,0
"19,045",01/16/2019 12:00:00 AM,9:30:00 AM,Volcamiento,BARBOSA VIA LA CONCHA,PAPELSA,Rural,0,0,0,1,1,0
"19,046",01/10/2019 12:00:00 AM,7:45:00 PM,Volcamiento,BARRIO 30 DE MAYO,PAPELSA,Urbana,0,0,1,0,1,0
